icd_1,icd_2,ji
G36,B73,0.09090909090909091
G36,D50,0.08
G36,D80,0.06896551724137931
G36,D83,0.06666666666666667
G36,G47,0.04225352112676056
G36,G56,0.03125
G36,H20,0.07317073170731707
G36,H46,0.25
G36,I00,0.25
G36,I09,0.15
G36,J32,0.08695652173913043
G36,J98,0.1
G36,K02,0.027972027972027972
G36,K75,0.1111111111111111
G36,L10,0.14285714285714285
G36,L12,0.1875
G36,L71,0.08823529411764706
G36,M08,0.08333333333333333
G36,M31,0.06818181818181818
G36,N03,0.10526315789473684
G61,A71,0.25
G61,H06,0.25
G61,H15,0.5
G61,J67,0.5
G61,L13,0.2
G61,L94,0.25
H15,A71,0.3333333333333333
H15,B50,0.25
H15,G98,0.14285714285714285
H15,H06,0.3333333333333333
H15,J67,1.0
H15,L13,0.25
H15,L52,0.25
H15,L94,0.3333333333333333
H15,M00,0.125
H15,M89,0.16666666666666666
H20,E06,0.10909090909090909
H20,A71,0.058823529411764705
H20,A98,0.07894736842105263
H20,B02,0.10526315789473684
H20,B19,0.06382978723404255
H20,B20,0.03690036900369004
H20,B22,0.11764705882352941
H20,B24,0.03676470588235294
H20,C16,0.0625
H20,C22,0.07339449541284404
H20,C50,0.04
H20,C90,0.041916167664670656
H20,D06,0.05263157894736842
H20,D64,0.04
H20,D69,0.037383177570093455
H20,D86,0.047244094488188976
H20,E05,0.06666666666666667
H20,E27,0.05263157894736842
H20,F48,0.04918032786885246
H20,G35,0.023696682464454975
H20,G70,0.04861111111111111
H20,H06,0.058823529411764705
H20,H16,0.046153846153846156
H20,H26,0.02032520325203252
H20,H31,0.05714285714285714
H20,H36,0.05806451612903226
H20,H46,0.10526315789473684
H20,H66,0.04878048780487805
H20,I00,0.12121212121212122
H20,I09,0.07142857142857142
H20,I10,0.0547945205479452
H20,I22,0.05825242718446602
H20,I64,0.1
H20,J15,0.04878048780487805
H20,J18,0.07874015748031496
H20,J30,0.040697674418604654
H20,J32,0.06818181818181818
H20,J41,0.06818181818181818
H20,J42,0.058823529411764705
H20,J44,0.04195804195804196
H20,J45,0.019021739130434784
H20,J60,0.08108108108108109
H20,J62,0.08888888888888889
H20,J63,0.05714285714285714
H20,J80,0.057692307692307696
H20,J84,0.043478260869565216
H20,J98,0.047619047619047616
H20,K13,0.08333333333333333
H20,K50,0.03524229074889868
H20,K51,0.038461538461538464
H20,K52,0.0975609756097561
H20,K74,0.057692307692307696
H20,K90,0.07142857142857142
H20,L10,0.09523809523809523
H20,L12,0.07894736842105263
H20,L13,0.05714285714285714
H20,L20,0.026570048309178744
H20,L23,0.06666666666666667
H20,L30,0.08333333333333333
H20,L40,0.029154518950437316
H20,L41,0.08108108108108109
H20,L51,0.07058823529411765
H20,L52,0.05714285714285714
H20,L63,0.08256880733944955
H20,L80,0.05405405405405406
H20,L93,0.06930693069306931
H20,M06,0.0368763557483731
H20,M07,0.08571428571428572
H20,M08,0.22
H20,M12,0.05263157894736842
H20,M31,0.13114754098360656
H20,M32,0.020905923344947737
H20,M33,0.14814814814814814
H20,M34,0.08
H20,M35,0.14953271028037382
H20,M45,0.056910569105691054
H20,M81,0.064
H20,N02,0.03759398496240601
H20,N03,0.075
H20,N08,0.09782608695652174
H20,N17,0.06172839506172839
H20,N18,0.06140350877192982
H20,N80,0.03482587064676617
H20,N87,0.05128205128205128
H36,A39,0.022388059701492536
H36,A48,0.041916167664670656
H36,A71,0.015151515151515152
H36,B19,0.027777777777777776
H36,B27,0.022727272727272728
H36,B35,0.03571428571428571
H36,C04,0.022222222222222223
H36,C22,0.06435643564356436
H36,D59,0.03488372093023256
H36,D64,0.06046511627906977
H36,D69,0.03980099502487562
H36,E11,0.18592964824120603
H36,E13,0.19935691318327975
H36,E14,0.19070904645476772
H36,E66,0.0679886685552408
H36,E78,0.06074766355140187
H36,F39,0.04405286343612335
H36,F48,0.05116279069767442
H36,G00,0.03260869565217391
H36,G12,0.03048780487804878
H36,G30,0.03495145631067961
H36,G59,0.07913669064748201
H36,G63,0.09923664122137404
H36,H16,0.0375
H36,H25,0.022058823529411766
H36,H35,0.06862745098039216
H36,H40,0.029871977240398292
H36,H46,0.021897810218978103
H36,I05,0.015267175572519083
H36,I10,0.11013215859030837
H36,I11,0.034722222222222224
H36,I20,0.08571428571428572
H36,I22,0.11891891891891893
H36,I25,0.07834101382488479
H36,I50,0.04882154882154882
H36,I51,0.06591639871382636
H36,I60,0.06832298136645963
H36,I61,0.037037037037037035
