,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,PubMed count,PubMed count avg
113,3,"['H73', 'K92']",Nifedipine,0.0062462,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 198]",99.0
114,3,"['H73', 'K92']",Bicalutamide,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 5]",2.5
115,3,"['H73', 'K92']",Rabeprazole,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 92]",46.0
116,3,"['H73', 'K92']",Proguanil,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 10]",5.0
117,3,"['H73', 'K92']",Pioglitazone,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 294]",147.0
118,3,"['H73', 'K92']",Carvedilol,0.008927828,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 36]",18.0
119,3,"['H73', 'K92']",Sulfinpyrazone,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 2]",1.0
120,3,"['H73', 'K92']",Bupropion,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 23]",11.5
121,3,"['H73', 'K92']",Moclobemide,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 5]",2.5
122,3,"['H73', 'K92']",Idarubicin,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']",[18],18.0
123,3,"['H73', 'K92']",Propafenone,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 7]",3.5
124,3,"['H73', 'K92']",Dexfenfluramine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 2]",1.0
125,3,"['H73', 'K92']",Flecainide,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 5]",2.5
126,3,"['H73', 'K92']",Rifapentine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 2]",1.0
127,3,"['H73', 'K92']",Saquinavir,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 9]",4.5
128,3,"['H73', 'K92']",Dexamethasone,0.008927828,"['disorders of tympanic membrane', 'diseases of digestive system']","[100, 856]",478.0
129,3,"['H73', 'K92']",Clomipramine,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 11]",5.5
130,3,"['H73', 'K92']",Arformoterol,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 4]",2.0
131,3,"['H73', 'K92']",Pranlukast,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 8]",4.0
132,3,"['H73', 'K92']",Acenocoumarol,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 20]",10.0
133,3,"['H73', 'K92']",Aminophenazone,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']",[0],0.0
134,3,"['H73', 'K92']",Antipyrine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[1, 197]",99.0
135,3,"['H73', 'K92']",Lopinavir,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 28]",14.0
136,3,"['H73', 'K92']",Etoricoxib,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 13]",6.5
137,3,"['H73', 'K92']",Flunarizine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 3]",1.5
138,3,"['H73', 'K92']",Nilotinib,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 15]",7.5
139,3,"['H73', 'K92']",Clevidipine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 0]",0.0
140,3,"['H73', 'K92']",Ospemifene,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 0]",0.0
141,3,"['H73', 'K92']",Trabectedin,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 9]",4.5
142,3,"['H73', 'K92']",Histamine,0.001591521,"['disorders of tympanic membrane', 'diseases of digestive system']","[15, 1750]",882.5
143,3,"['H73', 'K92']",Abiraterone,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 3]",1.5
144,3,"['H73', 'K92']",Tapentadol,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 1]",0.5
145,3,"['H73', 'K92']",Dapagliflozin,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 68]",34.0
146,3,"['H73', 'K92']",Artemether,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 35]",17.5
147,3,"['H73', 'K92']",Sulfaphenazole,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 2]",1.0
148,3,"['H73', 'K92']",Sulconazole,0.00382429,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 0]",0.0
149,3,"['H73', 'K92']",Parecoxib,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 7]",3.5
150,3,"['H73', 'K92']",Ticagrelor,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 9]",4.5
151,3,"['H73', 'K92']",Pitavastatin,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 16]",8.0
152,3,"['H73', 'K92']",Fingolimod,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 66]",33.0
153,3,"['H73', 'K92']",Enzalutamide,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 5]",2.5
154,3,"['H73', 'K92']",Netupitant,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 1]",0.5
155,3,"['H73', 'K92']",Vortioxetine,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 1]",0.5
156,3,"['H73', 'K92']",Stiripentol,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 0]",0.0
157,3,"['H73', 'K92']",Manidipine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 1]",0.5
158,3,"['H73', 'K92']",Ixazomib,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 1]",0.5
159,3,"['H73', 'K92']",Rose bengal,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']","[1, 237]",119.0
160,3,"['H73', 'K92']",Asunaprevir,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 9]",4.5
161,3,"['H73', 'K92']",Rupatadine,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 0]",0.0
162,3,"['H73', 'K92']",Curcumin,0.001591521,"['disorders of tympanic membrane', 'diseases of digestive system']","[1, 585]",293.0
163,3,"['H73', 'K92']",Diacerein,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 8]",4.0
164,3,"['H73', 'K92']",Letermovir,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 3]",1.5
165,3,"['H73', 'K92']",Cimicifuga racemosa,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 9]",4.5
166,4,"['A41', 'C91', 'N10']",Caffeine,0.000938891,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[88, 33, 0]",40.333333333333336
167,4,"['A41', 'C91', 'N10']",Sorafenib,0.00163369,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[21, 39, 2]",20.666666666666668
168,4,"['A41', 'C91', 'N10']",Trimethoprim,0.02337599,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[1225, 155, 1]",460.3333333333333
169,4,"['A41', 'C91', 'N10']",Methotrexate,0.0314753,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[523, 4145, 2]",1556.6666666666667
170,4,"['A41', 'C91', 'N10']",Imatinib,0.017940175,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[50, 1026, 0]",358.6666666666667
171,4,"['A41', 'C91', 'N10']",Dasatinib,7.158532482747722e-06,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[19, 537, 0]",185.33333333333334
172,4,"['A41', 'C91', 'N10']",Sunitinib,0.006290002,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[10, 13, 0]",7.666666666666667
173,4,"['A41', 'C91', 'N10']",Nilotinib,0.002357317,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[6, 148, 0]",51.333333333333336
174,4,"['A41', 'C91', 'N10']",Bosutinib,0.003712229,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[1, 30, 0]",10.333333333333334
175,4,"['A41', 'C91', 'N10']",Regorafenib,0.001852646,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[11, 0, 0]",3.6666666666666665
176,4,"['A41', 'C91', 'N10']",Ponatinib,8.22345502112547e-07,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[4, 223, 0]",75.66666666666667
177,4,"['A41', 'C91', 'N10']",Nintedanib,0.002991921,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[3, 5, 0]",2.6666666666666665
178,4,"['A41', 'C91', 'N10']",Isosorbide,0.007398631,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']","[7, 1, 0]",2.6666666666666665
