,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List
126,3,"['H73', 'K92']",Rifapentine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']"
127,3,"['H73', 'K92']",Saquinavir,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']"
128,3,"['H73', 'K92']",Dexamethasone,0.008927828,"['disorders of tympanic membrane', 'diseases of digestive system']"
129,3,"['H73', 'K92']",Clomipramine,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
130,3,"['H73', 'K92']",Arformoterol,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']"
131,3,"['H73', 'K92']",Pranlukast,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
132,3,"['H73', 'K92']",Acenocoumarol,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']"
133,3,"['H73', 'K92']",Aminophenazone,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']"
134,3,"['H73', 'K92']",Antipyrine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']"
135,3,"['H73', 'K92']",Lopinavir,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
136,3,"['H73', 'K92']",Etoricoxib,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']"
137,3,"['H73', 'K92']",Flunarizine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
138,3,"['H73', 'K92']",Nilotinib,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']"
139,3,"['H73', 'K92']",Clevidipine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
140,3,"['H73', 'K92']",Ospemifene,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
141,3,"['H73', 'K92']",Trabectedin,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
142,3,"['H73', 'K92']",Histamine,0.001591521,"['disorders of tympanic membrane', 'diseases of digestive system']"
143,3,"['H73', 'K92']",Abiraterone,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
144,3,"['H73', 'K92']",Tapentadol,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
145,3,"['H73', 'K92']",Dapagliflozin,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
146,3,"['H73', 'K92']",Artemether,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
147,3,"['H73', 'K92']",Sulfaphenazole,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
148,3,"['H73', 'K92']",Sulconazole,0.00382429,"['disorders of tympanic membrane', 'diseases of digestive system']"
149,3,"['H73', 'K92']",Parecoxib,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']"
150,3,"['H73', 'K92']",Ticagrelor,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']"
151,3,"['H73', 'K92']",Pitavastatin,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']"
152,3,"['H73', 'K92']",Fingolimod,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']"
153,3,"['H73', 'K92']",Enzalutamide,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']"
154,3,"['H73', 'K92']",Netupitant,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']"
155,3,"['H73', 'K92']",Vortioxetine,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']"
156,3,"['H73', 'K92']",Stiripentol,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']"
157,3,"['H73', 'K92']",Manidipine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
