,Trajectory,Drug,Disease list,Disease Consensus Name List,PubMed count,PubMed count avg
336,69,Corticotropin,"['K66', 'N73', 'N80', 'N94']","['disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'pain and conditions associated with female genital organs and menstrual cycle']","[11, 9, 32, 393]",111.25
337,213,Turoctocog alfa,"['A41', 'J18', 'J96', 'N17']","['septicaemia', 'pneumonia, organism', 'respiratory failure', 'acute renal failure']","[0, 0, 0, 1]",0.25
338,65_103,Eribulin,"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 1, 0, 0, 0, 0, 1]",0.2857142857142857
339,374,Imidafenacin,"['H10', 'F13', 'F33', 'F41', 'F43', 'F45', 'K59']","['conjunctivitis', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'functional intestinal disorders']","[0, 0, 0, 0, 0, 0]",0.0
340,354,Cimetidine,"['L72', 'N92', 'D21', 'D23', 'D72', 'E65', 'K35', 'L50', 'M84', 'N35', 'N87', 'N94']","['follicular cysts of skin and subcutaneous tissue', 'excessive, frequent and irregular menstruation', 'benign neoplasms of connective and soft tissue', 'benign neoplasms of skin', 'disorders of white blood cells', 'localised adiposity', 'acute appendicitis', 'urticaria', 'disorders of continuity of bone', 'urethral stricture', 'dysplasia of cervix uteri', 'pain and conditions associated with female genital organs and menstrual cycle']","[16, 15, 18, 59, 90, 1, 3, 117, 4, 0, 1, 11]",27.916666666666668
341,18,Sitaxentan,"['F84', 'G40', 'G41', 'G81', 'G91']","['pervasive developmental disorders', 'epilepsy', 'status epilepticus', 'hemiplegia', 'hydrocephalus']","[0, 0, 0, 0, 0]",0.0
342,148_222,Ergocalciferol,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']","[2, 0, 0, 4]",1.5
343,65_103,Calcidiol,"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[13, 18, 2, 0, 15, 0, 1]",7.0
344,358,Etanercept,"['L25', 'D53', 'N39', 'N76']","['contact dermatitis', 'nutritional anaemias', 'disorders of urinary system', 'inflammation of vagina and vulva']","[15, 0, 1]",5.333333333333333
345,227,Lauric Acid,"['M16', 'M87']","['coxarthrosis [arthrosis of hip]', 'osteonecrosis']","[0, 0]",0.0
346,133,Naratriptan,"['I47', 'I49']","['paroxysmal tachycardia', 'cardiac arrhythmias']","[0, 0]",0.0
347,89,Collagenase clostridium histolyticum,"['G35', 'H46', 'F32', 'F34', 'F48']","['multiple sclerosis', 'optic neuritis', 'depressive episode', 'persistent mood [affective] disorders', 'neurotic disorders']","[0, 0, 0, 0, 0]",0.0
348,126,Abciximab,"['G40', 'G93', 'G41']","['epilepsy', 'disorders of brain', 'status epilepticus']","[0, 36, 0]",12.0
349,65_103,Desflurane,"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 1, 12, 0, 550, 0, 4]",81.0
350,354,Menthol,"['L72', 'N92', 'D21', 'D23', 'D72', 'E65', 'K35', 'L50', 'M84', 'N35', 'N87', 'N94']","['follicular cysts of skin and subcutaneous tissue', 'excessive, frequent and irregular menstruation', 'benign neoplasms of connective and soft tissue', 'benign neoplasms of skin', 'disorders of white blood cells', 'localised adiposity', 'acute appendicitis', 'urticaria', 'disorders of continuity of bone', 'urethral stricture', 'dysplasia of cervix uteri', 'pain and conditions associated with female genital organs and menstrual cycle']","[7, 2, 15, 10, 12, 5, 0, 15, 0, 0, 0, 2]",5.666666666666667
351,258_421,Rifampicin,"['C83', 'C85']","[""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma""]","[3, 0]",1.5
352,368,Bismuth Subsalicylate,"['F01', 'F03', 'G30']","['vascular dementia', 'dementia', ""alzheimer's disease""]","[0, 1, 0]",0.3333333333333333
353,78,Donepezil,"['F32', 'F42', 'I95']","['depressive episode', 'obsessive-compulsive disorder', 'hypotension']","[12, 5, 86]",34.333333333333336
354,78,Estazolam,"['F32', 'F42', 'I95']","['depressive episode', 'obsessive-compulsive disorder', 'hypotension']","[0, 1, 9]",3.3333333333333335
355,96_135,Iron saccharate,"['I84', 'K60', 'K62']","['haemorrhoids', 'fissure and fistula of anal and rectal regions', 'diseases of anus and rectum']","[0, 0, 0]",0.0
356,429,Abiraterone,"['H18', 'H26', 'H33']","['disorders of cornea', 'cataract', 'retinal detachments and breaks']","[0, 0, 17]",5.666666666666667
357,428,Pentoxifylline,"['F03', 'F13', 'F20', 'F22', 'G31']","['dementia', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'schizophrenia', 'persistent delusional disorders', 'degenerative diseases of nervous system']","[43, 15, 8, 0, 1]",13.4
358,278,Olodaterol,"['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']","[0, 0, 0, 0, 1, 0, 0]",0.14285714285714285
359,120,Amrinone,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[0, 4, 0]",1.3333333333333333
360,438,Paliperidone,"['K85', 'K86', 'C23', 'K80', 'K81', 'K82']","['acute pancreatitis', 'diseases of pancreas', 'malignant neoplasm of gallbladder', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[2, 1, 0, 0, 0, 0]",0.5
361,12,Butorphanol,"['D64', 'D69', 'D70']","['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']","[3, 73, 0]",25.333333333333332
362,202,Anileridine,"['I21', 'I25', 'I42', 'I50', 'I20']","['acute myocardial infarction', 'chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'angina pectoris']","[0, 0, 0, 1, 0]",0.2
363,372,Flurbiprofen,"['F32', 'F48', 'F19', 'F22', 'F40', 'F44', 'F51', 'L29', 'L82']","['depressive episode', 'neurotic disorders', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'persistent delusional disorders', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'sleep disorders', 'pruritus', 'seborrhoeic keratosis']","[0, 0, 3, 0, 0, 1, 6, 13, 0]",2.5555555555555554
364,18,Pibrentasvir,"['F84', 'G40', 'G41', 'G81', 'G91']","['pervasive developmental disorders', 'epilepsy', 'status epilepticus', 'hemiplegia', 'hydrocephalus']","[0, 1, 0, 1]",0.5
365,201,Silver,"['M35', 'I10', 'I11', 'I15', 'I27', 'I35', 'I44', 'I51', 'I74', 'I77', 'J15', 'L30', 'M13']","['systemic involvement of connective tissue', 'essential (primary) hypertension', 'hypertensive heart disease', 'secondary hypertension', 'pulmonary heart diseases', 'nonrheumatic aortic valve disorders', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'arterial embolism and thrombosis', 'disorders of arteries and arterioles', 'bacterial pneumonia', 'dermatitis', 'arthritis']","[28, 8, 297, 134, 201, 0, 103, 8696, 577, 962, 276, 427, 659]",951.3846153846154
366,403,Salmeterol,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']","[0, 0, 0, 23]",5.75
367,415,Riociguat,"['C50', 'D05', 'D24', 'L90', 'N64']","['malignant neoplasm of breast', 'carcinoma in situ of breast', 'benign neoplasm of breast', 'atrophic disorders of skin', 'disorders of breast']","[0, 0, 0, 0, 0]",0.0
368,325,Arbutamine,"['E10', 'E13', 'E14', 'E11', 'G63', 'L03', 'N08', 'A04', 'E16', 'F01', 'G51', 'I79', 'L89', 'L98', 'M86']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'glomerular disorders in diseases classified elsewhere', 'bacterial intestinal infections', 'disorders of pancreatic internal secretion', 'vascular dementia', 'facial nerve disorders', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'decubitus ulcer', 'disorders of skin and subcutaneous tissue', 'osteomyelitis']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
369,208,Blinatumomab,"['E78', 'E79', 'G45', 'I20', 'I21', 'I44', 'I51', 'M41']","['disorders of lipoprotein metabolism and lipidaemias', 'disorders of purine and pyrimidine metabolism', 'transient cerebral ischaemic attacks and related syndromes', 'angina pectoris', 'acute myocardial infarction', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'scoliosis']","[0, 11, 74, 0, 0, 0, 98, 0]",22.875
370,272,D-alpha-Tocopherol acetate,"['D75', 'J37', 'J44', 'J93']","['diseases of blood and blood-forming organs', 'chronic laryngitis and laryngotracheitis', 'chronic obstructive pulmonary disease', 'pneumothorax']","[1972, 2, 23, 0]",499.25
371,370,Rivaroxaban,"['F17', 'A04', 'A41', 'B35', 'B37', 'I77', 'J41', 'K65', 'L30']","['mental and behavioural disorders due to use of tobacco', 'bacterial intestinal infections', 'septicaemia', 'dermatophytosis', 'candidiasis', 'disorders of arteries and arterioles', 'simple and mucopurulent chronic bronchitis', 'peritonitis', 'dermatitis']","[1, 0, 21, 0, 0, 767, 0, 10, 11]",90.0
372,372,Enflurane,"['F32', 'F48', 'F19', 'F22', 'F40', 'F44', 'F51', 'L29', 'L82']","['depressive episode', 'neurotic disorders', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'persistent delusional disorders', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'sleep disorders', 'pruritus', 'seborrhoeic keratosis']","[4, 0, 0, 0, 0, 0, 5, 2, 0]",1.2222222222222223
373,69,Maprotiline,"['K66', 'N73', 'N80', 'N94']","['disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'pain and conditions associated with female genital organs and menstrual cycle']","[0, 0, 0, 1]",0.25
374,370,Methoxamine,"['F17', 'A04', 'A41', 'B35', 'B37', 'I77', 'J41', 'K65', 'L30']","['mental and behavioural disorders due to use of tobacco', 'bacterial intestinal infections', 'septicaemia', 'dermatophytosis', 'candidiasis', 'disorders of arteries and arterioles', 'simple and mucopurulent chronic bronchitis', 'peritonitis', 'dermatitis']","[0, 0, 13, 0, 0, 138, 0, 22, 1]",19.333333333333332
375,243,Acenocoumarol,"['A04', 'K80', 'K81', 'K82', 'D72']","['bacterial intestinal infections', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'disorders of white blood cells']","[1, 3, 1, 2, 2]",1.8
376,278,Somatostatin,"['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']","[87, 26, 1, 1851, 12, 260, 1]",319.7142857142857
377,20,Primidone,"['F98', 'J11', 'J38', 'L50']","['behavioural and emotional disorders with onset usually occurring in childhood and adolescence', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']","[472, 0, 2, 1]",118.75
378,20,Sulfadiazine,"['F98', 'J11', 'J38', 'L50']","['behavioural and emotional disorders with onset usually occurring in childhood and adolescence', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']","[861, 0, 4, 4]",217.25
379,278,Vayarin,"['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']","[0, 0, 0, 0, 0, 0, 0]",0.0
380,335,Butorphanol,"['B36', 'C15', 'C23', 'C32', 'C51', 'C52', 'C69', 'C76', 'D03', 'D31', 'D46', 'D59', 'D89', 'E20', 'E46', 'E53', 'E72', 'F05', 'F09', 'G12', 'G24', 'G31', 'G90', 'H01', 'H21', 'H31', 'H49', 'H57', 'I06', 'I22', 'I33', 'I81', 'J11', 'J12', 'K06', 'K14', 'K41', 'K46', 'L08', 'L24', 'L53', 'L82', 'L84', 'L85', 'M00', 'M11', 'N32', 'N36']","['superficial mycoses', 'malignant neoplasm of oesophagus', 'malignant neoplasm of gallbladder', 'malignant neoplasm of larynx', 'malignant neoplasm of vulva', 'malignant neoplasm of vagina', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'melanoma in situ', 'benign neoplasm of eye and adnexa', 'myelodysplastic syndromes', 'acquired haemolytic anaemia', 'disorders involving the immune mechanism', 'hypoparathyroidism', 'protein-energy malnutrition', 'deficiency of b group vitamins', 'disorders of amino-acid metabolism', 'delirium', 'organic or symptomatic mental disorder', 'spinal muscular atrophy and related syndromes', 'dystonia', 'degenerative diseases of nervous system', 'disorders of autonomic nervous system', 'inflammation of eyelid', 'disorders of iris and ciliary body', 'disorders of choroid', 'paralytic strabismus', 'disorders of eye and adnexa', 'rheumatic aortic valve diseases', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'portal vein thrombosis', 'influenza virus', 'viral pneumonia', 'disorders of gingiva and edentulous alveolar ridge', 'diseases of tongue', 'femoral hernia', 'abdominal hernia', 'local infections of skin and subcutaneous tissue', 'irritant contact dermatitis', 'erythematous conditions', 'seborrhoeic keratosis', 'corns and callosities', 'epidermal thickening', 'pyogenic arthritis', 'crystal arthropathies', 'disorders of bladder', 'disorders of urethra']","[0, 0, 0, 1, 0, 1, 3, 0, 3, 0, 0, 0, 0, 0, 0, 7, 2, 5, 47, 0, 0, 1, 0, 5, 0, 0, 14, 0, 1, 0, 0, 1, 0, 0, 1, 0, 9, 0, 2, 0, 0, 0, 0, 0, 1]",2.311111111111111
381,8,Balsalazide,"['N10', 'N12']","['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']","[0, 0]",0.0
382,167,Chlorambucil,"['C53', 'D06', 'C54', 'C55', 'N87']","['malignant neoplasm of cervix uteri', 'carcinoma in situ of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part', 'dysplasia of cervix uteri']","[1, 0, 0, 4, 0]",1.0
383,354,Hydromorphone,"['L72', 'N92', 'D21', 'D23', 'D72', 'E65', 'K35', 'L50', 'M84', 'N35', 'N87', 'N94']","['follicular cysts of skin and subcutaneous tissue', 'excessive, frequent and irregular menstruation', 'benign neoplasms of connective and soft tissue', 'benign neoplasms of skin', 'disorders of white blood cells', 'localised adiposity', 'acute appendicitis', 'urticaria', 'disorders of continuity of bone', 'urethral stricture', 'dysplasia of cervix uteri', 'pain and conditions associated with female genital organs and menstrual cycle']","[4, 7, 9, 4, 1, 0, 1, 1, 3, 0, 0, 2]",2.6666666666666665
384,132,Linagliptin,"['I10', 'I11', 'I20', 'I47', 'I63']","['essential (primary) hypertension', 'hypertensive heart disease', 'angina pectoris', 'paroxysmal tachycardia', 'cerebral infarction']","[0, 13, 0, 3]",4.0
385,274,Pipotiazine,"['E16', 'E10', 'E13', 'G63']","['disorders of pancreatic internal secretion', 'insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'polyneuropathy in diseases classified elsewhere']","[0, 0, 0, 0]",0.0
386,236,Armodafinil,"['N04', 'A69', 'B99', 'E07', 'I10', 'I31', 'I46', 'I71', 'J03', 'J30', 'J41', 'J42', 'J81', 'J84', 'K55', 'K75', 'L50', 'L98', 'M86', 'N30', 'E26', 'N03']","['nephrotic syndrome', 'spirochaetal infections', 'infectious diseases', 'disorders of thyroid', 'essential (primary) hypertension', 'diseases of pericardium', 'cardiac arrest', 'aortic aneurysm and dissection', 'acute tonsillitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pulmonary oedema', 'interstitial pulmonary diseases', 'vascular disorders of intestine', 'inflammatory liver diseases', 'urticaria', 'disorders of skin and subcutaneous tissue', 'osteomyelitis', 'cystitis', 'hyperaldosteronism', 'chronic nephritic syndrome']","[0, 0, 18, 7, 0, 0, 2, 8, 0, 1, 0, 0, 2, 1, 1, 3, 0, 15, 0, 0, 0, 0]",2.6363636363636362
387,179,Pentoxyverine,"['E13', 'E11', 'G63', 'L03', 'M86', 'N08']","['specified diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'osteomyelitis', 'glomerular disorders in diseases classified elsewhere']","[0, 0, 0, 0, 0, 0]",0.0
388,96_135,Resveratrol,"['I84', 'K60', 'K62']","['haemorrhoids', 'fissure and fistula of anal and rectal regions', 'diseases of anus and rectum']","[15, 1, 12]",9.333333333333334
389,160,Felodipine,"['G83', 'H10', 'M54', 'M76', 'J04', 'J31']","['paralytic syndromes', 'conjunctivitis', 'dorsalgia', 'enthesopathies of lower limb, excluding foot', 'acute laryngitis and tracheitis', 'chronic rhinitis, nasopharyngitis and pharyngitis']","[0, 0, 0, 0, 0, 0]",0.0
390,403,Decamethonium,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']","[0, 0, 0, 1]",0.25
391,375,Pizotifen,"['K20', 'K51', 'A49', 'K29', 'J37', 'N89']","['oesophagitis', 'ulcerative colitis', 'bacterial infection of site', 'gastritis and duodenitis', 'chronic laryngitis and laryngotracheitis', 'noninflammatory disorders of vagina']","[1, 0, 0, 0, 0, 0]",0.16666666666666666
392,316,Rilpivirine,"['K59', 'L90']","['functional intestinal disorders', 'atrophic disorders of skin']","[2, 0]",1.0
393,69,Lormetazepam,"['K66', 'N73', 'N80', 'N94']","['disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'pain and conditions associated with female genital organs and menstrual cycle']","[0, 0, 0, 0]",0.0
394,231,Tolvaptan,"['M71', 'M93']","['bursopathies', 'osteochondropathies']","[0, 0]",0.0
395,350,Nafamostat,"['C38', 'C78', 'C79', 'C80', 'D61', 'D63', 'D70', 'M84', 'C23', 'D48']","['malignant neoplasm of heart, mediastinum and pleura', 'secondary malignant neoplasm of respiratory and digestive organs', 'secondary malignant neoplasm of specified sites', 'malignant neoplasm', 'aplastic anaemias', 'anaemia in chronic diseases classified elsewhere', 'agranulocytosis', 'disorders of continuity of bone', 'malignant neoplasm of gallbladder', 'neoplasm of uncertain or unknown behaviour of sites']","[0, 27, 0, 82, 1, 0, 3, 0, 2, 0]",11.5
396,425,Interferon beta-1b,"['F31', 'A49', 'E11', 'E53', 'G51', 'I12', 'I13', 'I62', 'K72', 'N08', 'N10']","['bipolar affective disorder', 'bacterial infection of site', 'non-insulin-dependent diabetes mellitus', 'deficiency of b group vitamins', 'facial nerve disorders', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'hepatic failure', 'glomerular disorders in diseases classified elsewhere', 'acute tubulo-interstitial nephritis']","[1, 0, 3, 2, 0, 0, 32, 0, 6, 0, 0]",4.0
397,156,Bismuth Subsalicylate,"['E21', 'N18', 'N19', 'I15', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'secondary hypertension', 'acute renal failure']","[0, 2, 2, 0, 1]",1.0
398,370,Bupivacaine,"['F17', 'A04', 'A41', 'B35', 'B37', 'I77', 'J41', 'K65', 'L30']","['mental and behavioural disorders due to use of tobacco', 'bacterial intestinal infections', 'septicaemia', 'dermatophytosis', 'candidiasis', 'disorders of arteries and arterioles', 'simple and mucopurulent chronic bronchitis', 'peritonitis', 'dermatitis']","[1, 5, 39, 1, 4, 199, 0, 22]",33.875
399,175,Lopinavir,"['K51', 'D50', 'E61']","['ulcerative colitis', 'iron deficiency anaemia', 'deficiency of nutrient elements']","[1, 1, 0]",0.6666666666666666
400,78,Enzalutamide,"['F32', 'F42', 'I95']","['depressive episode', 'obsessive-compulsive disorder', 'hypotension']","[1, 0, 7]",2.6666666666666665
401,12,Dactinomycin,"['D64', 'D69', 'D70']","['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']","[98, 584, 31]",237.66666666666666
402,372,Bosutinib,"['F32', 'F48', 'F19', 'F22', 'F40', 'F44', 'F51', 'L29', 'L82']","['depressive episode', 'neurotic disorders', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'persistent delusional disorders', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'sleep disorders', 'pruritus', 'seborrhoeic keratosis']","[0, 0, 0, 0, 0, 0, 0, 2, 0]",0.2222222222222222
403,154,Tetrabenazine,"['M19', 'M65', 'M75', 'M72']","['arthrosis', 'infective (teno)synovitis', 'shoulder lesions', 'fibroblastic disorders']","[2, 0, 0, 4]",1.5
404,236,Calcidiol,"['N04', 'A69', 'B99', 'E07', 'I10', 'I31', 'I46', 'I71', 'J03', 'J30', 'J41', 'J42', 'J81', 'J84', 'K55', 'K75', 'L50', 'L98', 'M86', 'N30', 'E26', 'N03']","['nephrotic syndrome', 'spirochaetal infections', 'infectious diseases', 'disorders of thyroid', 'essential (primary) hypertension', 'diseases of pericardium', 'cardiac arrest', 'aortic aneurysm and dissection', 'acute tonsillitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pulmonary oedema', 'interstitial pulmonary diseases', 'vascular disorders of intestine', 'inflammatory liver diseases', 'urticaria', 'disorders of skin and subcutaneous tissue', 'osteomyelitis', 'cystitis', 'hyperaldosteronism', 'chronic nephritic syndrome']","[22, 0, 128, 41, 1, 1, 0, 4, 1, 10, 0, 0, 2, 2, 3, 7, 2, 101, 3, 0, 2, 0]",15.0
405,278,Ethinyl Estradiol,"['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']","[6, 2, 12, 81, 3, 0, 2]",15.142857142857142
406,14,Abciximab,"['E10', 'E16', 'E87']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of fluid, electrolyte and acid-base balance']","[3, 0, 0]",1.0
407,230,Isavuconazonium,"['M71', 'M93', 'M94']","['bursopathies', 'osteochondropathies', 'disorders of cartilage']","[0, 0, 0]",0.0
408,122,Fostamatinib,"['F17', 'J20', 'J44', 'J43', 'J96']","['mental and behavioural disorders due to use of tobacco', 'acute bronchitis', 'chronic obstructive pulmonary disease', 'emphysema', 'respiratory failure']","[0, 0, 0, 2]",0.5
409,441,Mepyramine,"['M19', 'M20', 'M77']","['arthrosis', 'acquired deformities of fingers and toes', 'enthesopathies']","[17, 0, 0]",5.666666666666667
410,202,Pimavanserin,"['I21', 'I25', 'I42', 'I50', 'I20']","['acute myocardial infarction', 'chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'angina pectoris']","[0, 0, 0, 1, 0]",0.2
411,325,Glycine betaine,"['E10', 'E13', 'E14', 'E11', 'G63', 'L03', 'N08', 'A04', 'E16', 'F01', 'G51', 'I79', 'L89', 'L98', 'M86']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'glomerular disorders in diseases classified elsewhere', 'bacterial intestinal infections', 'disorders of pancreatic internal secretion', 'vascular dementia', 'facial nerve disorders', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'decubitus ulcer', 'disorders of skin and subcutaneous tissue', 'osteomyelitis']","[15, 1, 218, 93, 0, 0, 10, 2, 4, 1, 2, 6, 61, 2]",29.642857142857142
412,120,Praziquantel,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[0, 2, 3]",1.6666666666666667
413,278,Flurbiprofen,"['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']","[3, 3, 0, 99, 2, 0]",17.833333333333332
414,239,Progabide,"['E21', 'N18', 'N19', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'acute renal failure']","[0, 0, 1, 0]",0.25
415,244,Sunitinib,"['A08', 'J31', 'M46', 'A49', 'K29', 'K55', 'D22', 'K20', 'L28', 'N60']","['viral and specified intestinal infections', 'chronic rhinitis, nasopharyngitis and pharyngitis', 'inflammatory spondylopathies', 'bacterial infection of site', 'gastritis and duodenitis', 'vascular disorders of intestine', 'melanocytic naevi', 'oesophagitis', 'lichen simplex chronicus and prurigo', 'benign mammary dysplasia']","[67, 1, 0, 0, 31, 8, 2, 41, 0, 0]",15.0
