symbol1,symbol2
CREB3L1,OR10AG1
CREB3L1,DOLK
CREB3L1,SLC35A4
CREB3L1,BNIP3
CREB3L1,ZDHHC22
CREB3L1,TMEM11
CREB3L1,ADIPOQ
CREB3L1,TMIE
CREB3L1,YIPF6
CREB3L1,MFSD5
CREB3L1,RNASE10
CREB3L1,BRICD5
CREB3L1,GAST
CREB3L1,ANKRD46
CREB3L1,CYP4F2
CREB3L1,TMEM222
CREB3L1,RHD
CREB3L1,TMEM203
CREB3L1,TMEM120B
CREB3L1,APOD
CREB3L1,GIMAP5
CREB3L1,LHFPL5
CREB3L1,TMEM229B
CREB3L1,TMEM239
CREB3L1,COX20
CREB3L1,PLPP4
CREB3L1,NEU1
CREB3L1,MS4A13
CREB3L1,SLC35B4
CREB3L1,CTXN3
CREB3L1,PLPP6
CREB3L1,HACD2
CREB3L1,SACM1L
CREB3L1,GIMAP1
CREB3L1,LTC4S
CREB3L1,SYNJ2BP
CREB3L1,VAMP2
CREB3L1,TNF
CREB3L1,SMIM1
CREB3L1,MGAM
CREB3L1,TIMM23
CREB3L1,ENSG00000265808
CREB3L1,ENSG00000276070
CREB3L1,PRKAB2
CREB3L1,NFE2
CREB3L1,C5
CREB3L1,CREB3
CREB3L1,RUNX1T1
CREB3L1,FAM3C
CREB3L1,CYBC1
CREB3L1,NFIL3
CREB3L1,TMEM234
CREB3L1,CREB3L3
CREB3L1,CEBPG
CREB3L1,PGRMC1
CREB3L1,NRM
CREB3L1,JAGN1
CREB3L1,TMEM128
CREB3L1,CREM
CREB3L1,FBXW7
CREB3L1,HIF1A
CREB3L1,PLN
CREB3L1,TRRAP
CREB3L1,AP3B1
CREB3L1,UBE2D3
CREB3L1,UBA1
CREB3L1,MRPL12
CREB3L1,EPAS1
CREB3L1,DDIT3
CREB3L1,USP22
CREB3L1,CREB3L2
CREB3L1,UHRF1BP1
CREB3L1,CD99L2
TMEM79,PVR
TMEM79,COQ9
TMEM79,CYB5R3
TMEM79,TMEM97
TMEM79,GPRC5D
TMEM79,TMEM14C
TMEM79,RNF8
TMEM79,SEC22A
TMEM79,TMEM254
TMEM79,PELI2
TMEM79,TEX264
TMEM79,CPLX4
TMEM79,SFTPC
TMEM79,ARL13B
TMEM79,LPAR3
TMEM79,CLEC7A
TMEM79,FNDC9
TMEM79,ZCCHC12
TMEM79,TRAM1L1
TMEM79,RPRM
TMEM79,AMIGO1
TMEM79,BRICD5
TMEM79,TMPRSS2
TMEM79,ANKRD46
TMEM79,APOD
TMEM79,LDLRAD1
TMEM79,GIMAP1
TMEM79,SERP1
TMEM79,PLP2
TMEM79,TMEM100
TMEM79,TMPRSS4
TMEM79,ABO
TMEM79,SLN
TMEM79,PLN
TMEM79,FLOT2
TMEM79,GCNT2
GGT6,SEC22A
GGT6,FAIM2
GGT6,TMBIM1
GGT6,ADAM33
GGT6,BMP10
GGT6,ENTPD3
GGT6,GRINA
GGT6,FAM3C
GGT6,NOTCH3
ARL13B,THSD7A
ARL13B,VAMP3
ARL13B,HOMER3
ARL13B,CTSA
ARL13B,NUCB2
ARL13B,TFRC
ARL13B,FDFT1
ARL13B,STX7
ARL13B,SEMA4G
ARL13B,TECR
ARL13B,HMOX1
ARL13B,WFDC2
ARL13B,ZDHHC15
ARL13B,SLC38A7
ARL13B,HMOX2
ARL13B,CDIPT
ARL13B,LEPROTL1
ARL13B,NKG7
ARL13B,PLPPR2
ARL13B,FKBP8
ARL13B,STX1A
ARL13B,MOSPD3
ARL13B,C1GALT1
ARL13B,GOSR2
ARL13B,MMD
ARL13B,TMEM97
ARL13B,PMP22
ARL13B,TMEM14C
ARL13B,TSPO2
ARL13B,CYB561D2
ARL13B,ICMT
ARL13B,VAMP4
ARL13B,SLC35B1
ARL13B,TMEM54
ARL13B,PAEP
ARL13B,PLP1
ARL13B,KCNJ2
ARL13B,ORMDL1
ARL13B,CLN6
ARL13B,AOC3
ARL13B,TMEM128
ARL13B,TMEM254
ARL13B,CFHR5
ARL13B,EMP1
ARL13B,GAD2
ARL13B,NRM
ARL13B,FXYD6
ARL13B,KLRG1
ARL13B,VAMP1
ARL13B,CMTM3
ARL13B,SLC2A5
ARL13B,CD53
ARL13B,AQP10
ARL13B,NAT8
ARL13B,MALL
ARL13B,THSD7B
ARL13B,AIG1
ARL13B,EBP
ARL13B,MAL2
ARL13B,PGAP2
ARL13B,TMEM218
ARL13B,CMTM7
ARL13B,CLDN8
ARL13B,SLC13A3
ARL13B,TMEM190
ARL13B,CXCL16
ARL13B,PDZK1IP1
ARL13B,BMP10
ARL13B,TEX264
ARL13B,C4orf3
ARL13B,SLC35A1
ARL13B,TMEM65
ARL13B,GJB2
ARL13B,FUNDC2
ARL13B,SLC39A2
ARL13B,B4GALNT2
ARL13B,ACSF2
ARL13B,ENTPD3
ARL13B,TMUB2
ARL13B,PTPN9
ARL13B,CSGALNACT2
ARL13B,ITGAM
ARL13B,GPR37L1
ARL13B,FAXDC2
ARL13B,SMAGP
ARL13B,TMEM43
ARL13B,JAGN1
ARL13B,LPAR3
ARL13B,COL8A2
ARL13B,NINJ2
ARL13B,ORMDL3
ARL13B,CLEC7A
ARL13B,C2CD2L
ARL13B,MUCL1
ARL13B,TNFRSF10C
ARL13B,BNIP3
ARL13B,CD151
ARL13B,TMEM187
ARL13B,TMEM11
ARL13B,TMEM86B
ARL13B,YIPF6
ARL13B,CLEC4G
ARL13B,BRICD5
ARL13B,TRARG1
ARL13B,TMEM121
ARL13B,MYADML2
ARL13B,ANKRD46
ARL13B,VSTM1
ARL13B,CLDN4
ARL13B,GIMAP5
ARL13B,S100A2
ARL13B,SPN
ARL13B,TMEM229B
ARL13B,RTP2
ARL13B,PLN
ARL13B,CCDC167
ARL13B,PLPP4
ARL13B,SACM1L
ARL13B,GIMAP1
ARL13B,TM6SF2
ARL13B,ALG3
ARL13B,VAMP2
ARL13B,STRIT1
ARL13B,CD302
ARL13B,PRB1
ARL13B,CCL4
ARL13B,ENSG00000276070
ARL13B,UBE2I
ARL13B,MAPK14
ARL13B,PTPRH
ARL13B,IPO11
ARL13B,RAB9A
ARL13B,TGOLN2
ARL13B,TNPO2
ARL13B,CTDSPL
ARL13B,PDXDC1
ARL13B,STK25
ARL13B,RAB18
ARL13B,VAC14
ARL13B,LAMP1
ARL13B,TTI1
ARL13B,IFT22
ARL13B,TTC30A
ARL13B,FASTKD1
ARL13B,IFT74
ARL13B,ANKRD50
ARL13B,IFT52
ARL13B,MINDY2
ARL13B,IFT81
ARL13B,IFT46
ARL13B,TTC26
ARL13B,ARV1
ARL13B,TMEM17
BNIP3,TMEM101
BNIP3,BIK
BNIP3,SEC23A
BNIP3,RNF24
BNIP3,PLP2
BNIP3,ZDHHC15
BNIP3,TMEM205
BNIP3,HPN
BNIP3,ELOVL4
BNIP3,SPACA1
BNIP3,SLC35B1
BNIP3,SEC22A
BNIP3,ERGIC3
BNIP3,GPR42
BNIP3,FFAR2
BNIP3,KTN1
BNIP3,REEP2
BNIP3,TMEM106C
BNIP3,SLC31A2
BNIP3,BNIP2
BNIP3,MALL
BNIP3,EBP
BNIP3,FATE1
BNIP3,EBAG9
BNIP3,MFSD14B
BNIP3,MS4A3
BNIP3,TLCD4
BNIP3,IFNGR2
BNIP3,TM4SF18
BNIP3,CMTM5
BNIP3,SCN3B
BNIP3,JAGN1
BNIP3,FAM241B
BNIP3,CLEC7A
BNIP3,GPR152
BNIP3,RPRM
BNIP3,TMEM11
BNIP3,AMIGO1
BNIP3,TMPRSS2
BNIP3,PPTC7
BNIP3,SLC6A17
BNIP3,CD3E
BNIP3,LDLRAD1
BNIP3,TMX2
BNIP3,CLDN9
BNIP3,RNASEK
BNIP3,FXYD6-FXYD2
BNIP3,SMIM3
BNIP3,BCL2
BNIP3,BCL2L1
BNIP3,HDAC1
BNIP3,MS4A12
BNIP3,MRPS11
BNIP3,NCBP1
BNIP3,ITM2C
BNIP3,CD47
BNIP3,CREB3
BNIP3,KIR2DL3
BNIP3,GABARAPL1
BNIP3,APOD
BNIP3,FA2H
BNIP3,SFTPC
BNIP3,SYNGR2
BNIP3,ITM2B
BNIP3,SFXN3
BNIP3,NUP155
BNIP3,PLPP6
BNIP3,UNC50
BNIP3,KLRG1
BNIP3,TGM2
BNIP3,RHEB
BNIP3,PRKN
BNIP3,HIVEP1
BNIP3,OPA1
BNIP3,CLN8
BNIP3,MAP1LC3B
BNIP3,TMEM30A
BNIP3,PINK1
BNIP3,ESR2
BNIP3,PPP4R3B
BNIP3,BCL2L2
BNIP3,ENPEP
BNIP3,LMNA
BNIP3,HTR2B
BNIP3,PRELID1
BNIP3,AGTR1
BNIP3,GPR37
AMIGO1,HHATL
AMIGO1,CLDN11
AMIGO1,LMO3
AMIGO1,TSPO
AMIGO1,SLC38A7
AMIGO1,NKG7
AMIGO1,UPK2
AMIGO1,SLC38A1
AMIGO1,SELENOK
AMIGO1,C3orf52
AMIGO1,IGFBP5
AMIGO1,SLC41A1
AMIGO1,TMEM60
AMIGO1,CXCL9
AMIGO1,ASGR1
AMIGO1,TMEM50B
AMIGO1,TM4SF5
AMIGO1,MALL
AMIGO1,PGAP2
AMIGO1,PROM2
AMIGO1,GJB2
AMIGO1,STX8
AMIGO1,NINJ2
AMIGO1,RPRM
AMIGO1,ADIPOQ
AMIGO1,EDDM3B
AMIGO1,PTTG1IP
AMIGO1,ANKRD46
AMIGO1,PLPP6
AMIGO1,PGA4
AMIGO1,AMIGO3
AMIGO1,AMIGO2
AMIGO1,PICK1
AMIGO1,PTPRK
AMIGO1,CD1B
AMIGO1,SCNN1D
AMIGO1,IL17RB
AMIGO1,ST8SIA4
AMIGO1,GPR183
AMIGO1,ERLIN2
AMIGO1,ZACN
AMIGO1,PON2
AMIGO1,B3GNT3
AMIGO1,ITM2B
AMIGO1,ADAM21
AMIGO1,NCEH1
AMIGO1,GABRA3
AMIGO1,ADAM33
AMIGO1,INSL5
AMIGO1,LRRTM1
AMIGO1,ST8SIA3
AMIGO1,KIAA2013
AMIGO1,MPPE1
AMIGO1,TMPRSS12
AMIGO1,PNLDC1
TMEM106A,GOSR2
TMEM106A,IGFBP5
TMEM106A,TMEM128
TMEM106A,ERG28
TMEM106A,TMEM106C
TMEM106A,GJB2
TMEM106A,ENTPD3
TMEM106A,TMEM107
TMEM106A,TMEM86B
TMEM106A,TSPAN4
TMEM106A,ARF1
TMEM106A,RHOU
KIR3DL3,OLFM4
KIR3DL3,C5
KIR3DL3,UPK2
KIR3DL3,ASIC1
KIR3DL3,SERP1
KIR3DL3,SLC41A2
KIR3DL3,EMP3
KIR3DL3,CD53
KIR3DL3,ADAM33
KIR3DL3,LAPTM5
KIR3DL3,SLC35A1
KIR3DL3,CMTM5
KIR3DL3,VAMP5
KIR3DL3,JAGN1
KIR3DL3,NINJ2
KIR3DL3,AGTRAP
KIR3DL3,EDDM3B
KIR3DL3,GIMAP5
KIR3DL3,SYS1
KIR3DL3,CTXN3
KIR3DL3,SMIM3
KIR3DL3,RUNX3
H1-4,CD81
H1-4,PAK1IP1
H1-4,RRP8
H1-4,DPF2
H1-4,LARP1B
H1-4,CDK5
