	Dis A	Dis B
1596	I25	B00
1597	I25	I27
1598	I25	I31
1599	I25	I13
1600	I25	I30
1601	I25	I33
1602	I25	I99
1603	I25	B34
1604	I25	C75
1605	I25	F51
1606	I25	F52
1607	I25	G12
1608	I25	G98
1609	I25	G60
1610	I25	H57
1611	I25	F09
1612	I25	J41
1613	I25	M46
1614	I25	D52
1615	I07	I36
1616	I07	I48
1617	I07	I44
1618	I07	J84
1619	I07	I27
1620	I36	I48
1621	I36	I44
1622	I36	J84
1623	I36	I27
1624	I35	I72
1625	I73	I74
1626	I73	I77
1627	I73	H57
1628	I74	I77
1629	I74	H57
1630	J44	J98
1631	J44	J41
1632	J44	J47
1633	J44	G61
1634	J44	J82
1635	J44	A16
1636	J44	B44
1637	J44	D52
1638	J44	L28
1639	J44	M00
1640	J44	F09
1641	J44	J62
1642	J44	K20
1643	K20	D62
1644	K20	M45
1645	K20	D35
1646	K20	I12
1647	K20	I72
1648	K20	I77
1649	K20	L98
1650	K20	N05
1651	K20	I13
1652	K20	K22
1653	K20	F09
1654	K20	J62
1655	K20	J47
1656	D62	D52
1657	K43	D17
