	Dis A	Dis B
821	H90	H93
822	H90	H81
823	H90	H16
824	H90	K30
825	H90	M40
826	H90	F34
827	H90	G57
828	H90	H10
829	H90	I06
830	H91	H83
831	H91	H93
832	H91	H81
833	H91	H16
834	H91	K30
835	H91	M40
836	H91	F34
837	H91	G57
838	H91	H10
839	H91	I06
840	J04	J31
841	J04	J40
842	J04	J47
843	J04	J44
844	J04	A16
845	J04	B44
846	J04	D52
847	J04	L28
848	J04	M00
849	J04	K51
850	J04	D73
851	J04	K29
852	J04	A69
853	J04	D16
854	J04	D21
855	J04	N62
856	J04	D51
857	J04	H49
858	J04	J82
859	J31	J40
860	J31	K45
861	J31	G62
862	J31	G61
863	J31	H16
864	J31	L71
865	J31	M93
866	J40	J41
867	J40	J44
868	J40	J47
869	J40	G61
870	J40	H10
871	J40	J82
872	J40	B37
873	J40	J18
874	J40	J86
875	J40	J93
876	J40	B02
877	J40	L72
878	K21	K29
879	K21	K44
880	K21	K52
881	K21	K20
882	K21	K25
883	K21	K26
884	K21	D62
885	K21	K31
886	K21	K22
887	K29	K44
888	K29	K52
889	K29	K51
890	K29	K25
891	K29	K26
892	K29	K58
893	K29	K59
894	K29	K31
895	K29	K75
896	K29	D73
897	K29	N62
898	K29	A69
899	K29	D16
900	K29	D21
901	K44	K52
902	K44	K20
903	K44	K22
904	K44	K25
905	K44	K26
906	J45	J46
907	K40	K42
908	K40	N43
909	K40	K43
910	K40	K66
911	K40	D17
912	K40	L72
913	K40	K46
914	K42	N43
915	K42	K43
916	K42	D17
917	K42	K66
918	K42	L72
919	N43	K66
920	N43	D29
921	N43	N02
922	N43	N39
923	N43	N40
924	N43	N30
925	N43	H10
926	N43	N41
927	N43	N42
928	K59	K60
929	K59	K51
930	K59	K25
931	K59	K26
932	K59	K58
933	K59	K31
934	K60	L72
935	K60	K63
936	K60	D12
937	K60	I84
938	K60	K62
939	K60	K64
940	K60	D21
941	L90	N35
942	L90	N48
943	N35	N48
944	N35	N32
945	N48	A63
946	N48	E13
947	N48	H40
948	N48	E11
949	N48	G63
950	N48	H25
951	N48	H26
952	N48	M86
953	N48	I79
954	N48	G35
955	N48	F32
956	N48	G20
957	N48	F48
958	N12	N39
959	N39	N41
960	N39	N30
961	N39	I95
962	N39	D29
963	N39	N02
964	N39	N40
965	N39	H10
966	N39	N42
967	N39	I65
968	N13	N28
969	N13	N20
970	N13	N21
971	D43	B37
972	D43	C34
973	D43	C38
974	D43	J82
975	D43	J93
976	D43	N30
977	D43	K63
978	D43	D36
979	E87	F10
980	E87	F12
981	E87	F20
982	E87	F60
983	E87	F63
984	E87	G35
985	E87	G45
986	E87	H81
987	E87	M42
988	E87	M47
989	F10	F12
990	F10	F20
991	F10	F60
992	F10	F63
993	F10	K70
994	F10	D53
995	F10	F34
996	F10	F05
997	F10	G31
998	F10	H10
999	F10	K72
1000	F10	L21
1001	F10	F13
1002	F10	F31
1003	F10	E51
1004	F11	F13
1005	F11	F19
1006	F11	B18
1007	F11	B24
1008	F11	F14
1009	F11	F15
1010	F11	B16
1011	F11	F12
1012	F11	K73
1013	F11	F33
1014	F11	F60
1015	F13	F19
1016	F13	B18
1017	F13	B24
1018	F13	F14
1019	F13	F15
1020	F13	B16
1021	F13	F12
1022	F13	K73
1023	F13	F33
1024	F13	F60
1025	F13	F31
1026	F13	G31
1027	F13	D53
1028	F13	E51
1029	F13	F45
1030	F13	F32
1031	F19	B18
1032	F19	B24
1033	F19	F14
1034	F19	F15
1035	F19	B16
1036	F19	F12
1037	F19	K73
1038	F19	C22
1039	F32	F33
1040	F32	F45
1041	F32	F40
1042	F32	F63
1043	F32	F48
1044	F32	B37
1045	F32	F51
1046	F32	M89
1047	F32	F60
1048	F32	G83
1049	F32	G20
1050	F32	G35
1051	F33	F45
1052	F33	F60
1053	F45	G44
1054	F12	F20
1055	F12	F60
1056	F12	F63
1057	F12	F15
1058	F12	F25
1059	F12	F31
1060	F12	B16
1061	F12	B18
1062	F12	F14
1063	F12	K73
1064	F20	F60
1065	F20	F63
1066	F20	F15
1067	F20	F25
1068	F20	F31
1069	F60	F63
1070	F60	M89
1071	F60	G83
1072	F60	F31
1073	F60	G31
1074	F60	D53
1075	F60	E51
1076	F63	F40
1077	G80	G82
1078	G82	G83
1079	G82	M84
1080	G82	I60
1081	G82	H21
1082	G82	E11
1083	G82	E53
1084	G82	E55
1085	G82	N08
1086	J33	M95
1087	B20	B24
1088	B24	B18
1089	B24	F14
1090	B24	F15
1091	C62	C78
1092	C62	D40
1093	C78	D40
1094	D40	C61
1095	D40	N32
1096	D40	N40
1097	D40	C64
1098	D40	I89
1099	D40	N41
1100	D40	N42
1101	D16	L05
1102	D16	K51
1103	D16	D73
1104	D16	A69
1105	D16	D21
1106	D16	N62
1107	L05	G45
1108	L05	J15
1109	L05	J93
1110	N18	D64
1111	N18	N19
1112	N18	B99
1113	N18	N03
1114	N18	N25
