	Dis A	Dis B
931	H10	M76
932	H10	H11
933	H10	H18
934	H10	H25
935	H10	H27
936	H10	H34
937	H10	H44
938	C18	C19
939	C18	C20
940	C18	D12
941	C18	C48
942	C19	C20
943	C19	D12
944	C19	C48
945	C48	C56
946	C48	C57
947	C48	C20
948	C48	D12
949	C56	C57
950	C82	C83
951	C82	C85
952	C83	C85
953	C54	C55
954	D12	K64
955	D12	C20
956	D62	K36
957	D62	E61
958	C43	D22
959	C43	C44
960	C43	L57
961	D34	E55
962	D34	E83
963	D34	E01
964	D34	L72
965	E55	E83
966	E55	E01
967	E55	L72
968	D53	G62
969	D53	I85
970	D53	K74
971	D53	L25
972	G62	I85
973	G62	K74
974	I85	K74
975	I85	K72
976	K74	K72
977	H25	H26
978	H25	H35
979	H25	H11
980	H25	H18
981	H25	H27
982	H25	H34
983	H25	H44
984	H25	H40
985	H26	H35
986	H26	H18
987	H26	H40
988	H26	H02
989	E13	G63
990	E13	M86
991	E13	N08
992	G63	M86
993	G63	N08
994	M86	N08
995	M86	I79
996	N08	I79
997	L90	N62
998	L90	N64
999	N62	N64
1000	I89	M16
1001	I89	M87
1002	M16	M87
1003	G57	M96
1004	G57	M20
1005	G57	M77
1006	G57	M21
1007	G57	A69
1008	G57	G54
1009	M96	A69
1010	M96	G54
1011	I60	I61
1012	H02	H18
1013	I42	I50
1014	I42	I44
1015	I42	I51
1016	I50	I44
1017	I50	I51
1018	I50	J81
1019	I44	I51
1020	I64	I65
1021	I64	G46
1022	I65	G46
1023	G46	I66
1024	I67	I72
1025	D61	M84
1026	D61	C22
1027	D61	C38
1028	D61	C49
1029	D61	C80
1030	D61	D63
1031	D61	D46
1032	M87	M71
1033	M21	M71
1034	M21	M93
1035	M21	M20
1036	M21	M77
1037	M21	M00
1038	M71	M93
1039	M71	M00
1040	M93	G95
1041	M93	M47
1042	M20	M77
1043	N97	D13
1044	A04	D72
1045	A04	B35
1046	D72	N32
1047	C22	C38
1048	C22	C49
1049	C38	C49
1050	C38	C80
1051	C34	J82
1052	C67	C68
1053	D75	J37
1054	D75	J93
1055	J37	J93
1056	J37	K20
1057	J37	A49
1058	J37	N89
1059	J93	J47
1060	D52	I46
1061	D52	M80
1062	I46	M80
1063	G20	G21
1064	G20	F02
1065	G21	F02
1066	G56	M15
1067	I07	I34
1068	I07	I35
1069	I07	I36
1070	I34	I35
1071	I34	I36
1072	I35	I36
1073	I35	I71
1074	I12	N25
1075	A69	G54
1076	C44	L57
1077	D63	D46
1078	E01	L72
1079	F00	F01
1080	F00	F03
1081	F00	G30
1082	F00	F05
1083	F01	F03
1084	F01	G30
1085	F01	F05
1086	F03	G30
1087	F03	F05
1088	F03	F22
1089	F03	G31
1090	G30	F05
1091	H18	H11
1092	H18	H27
1093	H18	H34
1094	H18	H44
1095	K20	A49
1096	K20	N89
1097	A49	N89
1098	G95	M47
1099	H11	H27
1100	H11	H34
1101	H11	H44
1102	H27	H34
1103	H27	H44
1104	H34	H44
1105	H40	H47
1106	F22	G31
